6893.6542031962,607.7686158489,1052.6861218961,-1.3103584024,3.7157059301,6.4357914569
6879.6747066890,646.1569018026,1119.1765835833,-1.3931241322,3.7081709281,6.4227404507
6864.7811770190,684.6127428291,1185.7840540890,-1.4760355118,3.7001432588,6.4088361195
6849.1277408311,722.7461917748,1251.8331251308,-1.5582518091,3.6917059969,6.3942223533
6832.5616146206,760.9370581482,1317.9816460747,-1.6405918992,3.6827767917,6.3787565161
6815.2538608527,798.7981375159,1383.5589591689,-1.7222209635,3.6734478463,6.3625983088
6797.0351938940,836.7065825873,1449.2183120685,-1.8039521491,3.6636279153,6.3455896893
6777.8978323898,874.6570792000,1514.9505003741,-1.8857739983,3.6533128044,6.3277233932
6758.0389223494,912.2648981906,1580.0891536278,-1.9668570294,3.6426087761,6.3091834723
6737.2637798410,949.9047080661,1645.2832167194,-2.0480090333,3.6314108950,6.2897881733
6715.5649650511,987.5710430138,1710.5232225837,-2.1292182257,3.6197151510,6.2695305504
6693.1656067627,1024.8820936336,1775.1478579410,-2.2096614196,3.6076418114,6.2486189128
6669.8457277909,1062.2096113396,1839.8010151282,-2.2901401168,3.5950723076,6.2268478937
6645.8448605551,1099.1752770842,1903.8274263334,-2.3698386557,3.5821357486,6.2044411161
6620.9270420476,1136.1474570836,1967.8651205590,-2.4495512393,3.5687049493,6.1811782894
6595.0854615408,1173.1205001680,2031.9043096916,-2.5292656838,3.5547762388,6.1570530551
6568.5852263537,1209.7197200719,2095.2960180825,-2.6081741598,3.5404925109,6.1323129126
6541.1654845550,1246.3098719720,2158.6720202302,-2.6870630851,3.5257131654,6.1067143354
6513.1073057951,1282.5202056264,2221.3901578786,-2.7651331164,3.5105896999,6.0805197248
6484.1342799572,1318.7116564759,2284.0755895496,-2.8431624361,3.4949731284,6.0534710296
6454.2402430350,1354.8784061301,2346.7182374953,-2.9211384996,3.4788601285,6.0255624949
6423.7313541125,1390.6540359544,2408.6834460237,-2.9982713028,3.4624157209,5.9970799455
6392.3067939797,1426.3951903937,2470.5889414338,-3.0753297765,3.4454777631,5.9677425420
6359.9607802169,1462.0959256923,2532.4244288385,-3.1523011059,3.4280431382,5.9375448859
6327.0243333432,1497.3945872327,2593.5635040657,-3.2284055582,3.4102902676,5.9067960121
6293.1724539332,1532.6431078375,2654.6157326448,-3.3044019058,3.3920439755,5.8751925070
6258.7513825486,1567.4844700359,2714.9627421774,-3.3795204137,3.3734908866,5.8430576145
6223.4212826127,1602.2661036669,2775.2062987965,-3.4545101459,3.3544478279,5.8100740693
6187.1770474353,1636.9819270138,2835.3358686600,-3.5293579901,3.3349120469,5.7762371040
6150.3891697050,1671.2803624853,2894.7425015166,-3.6033059397,3.3150832404,5.7418926037
6112.6942329285,1705.5034710416,2954.0186643291,-3.6770914832,3.2947655256,5.7067012894
6074.0875339163,1739.6450629327,3013.1536361358,-3.7507012756,3.2739563675,5.6706587704
6034.9635126275,1773.3594218568,3071.5486187370,-3.8233899472,3.2528683708,5.6341332885
5994.9354762743,1806.9828303010,3129.7860704860,-3.8958825282,3.2312931065,5.5967638345
5954.4122188509,1840.1748758185,3187.2763797294,-3.9674450840,3.2094509161,5.5589320511
5912.9930519902,1873.2666881207,3244.5930799513,-4.0387915356,3.1871258271,5.5202638627
5870.6739719610,1906.2519700343,3301.7252641276,-4.1099083060,3.1643156815,5.4807555315
5827.8869911251,1938.7968177947,3358.0945939732,-4.1800754936,3.1412533356,5.4408103767
5784.2088613869,1971.2259534396,3414.2635045559,-4.2499932041,3.1177106570,5.4000332612
5740.0853120007,2003.2111600711,3469.6635075322,-4.3189537969,3.0939278955,5.3588403100
5695.0797179223,2035.0716332105,3524.8474657627,-4.3876454624,3.0696697086,5.3168238978
5649.1887836275,2066.8009880031,3579.8043203549,-4.4560544347,3.0449343200,5.2739809479
5602.8806587842,2098.0781407642,3633.9779380533,-4.5234884525,3.0199740640,5.2307485164
5555.6969422903,2129.2152725606,3687.9090323265,-4.5906205830,2.9945418608,5.1866986483
5507.6347689222,2160.2059208026,3741.5864096411,-4.6574368926,2.9686361660,5.1418286687
5459.1842854823,2190.7365298484,3794.4669756945,-4.7232613508,2.9425211706,5.0965961698
5409.8657334576,2221.1118830763,3847.0786307831,-4.7887510750,2.9159382829,5.0505532577
5360.1819273084,2251.0247086451,3898.8891644662,-4.8532435825,2.8891585219,5.0041693510
5309.6407517563,2280.7736814473,3950.4158968326,-4.9173828210,2.8619166354,4.9569850196
5258.2400644364,2310.3522831266,4001.6475377581,-4.9811547367,2.8342114689,4.9089982635
5206.5037689275,2339.4613576219,4052.0659337452,-5.0439143446,2.8063254083,4.8606981897
5153.9192831022,2368.3916115008,4102.1746033393,-5.1062884125,2.7779821698,4.8116062607
5101.0224373092,2396.8505053463,4151.4668534070,-5.1676462210,2.7494705682,4.7622227180
5047.2890125585,2425.1223122286,4200.4350593488,-5.2286006672,2.7205080473,4.7120581603
4992.7175922967,2453.2004781805,4249.0678693609,-5.2891376205,2.6910938436,4.6611112651
4937.8641262843,2480.8011397048,4296.8736174435,-5.3486450670,2.6615276162,4.6099010571
4882.1848791381,2508.2000579299,4344.3299358819,-5.4077175518,2.6315162897,4.5579199146
4825.6788823645,2535.3906330532,4391.4253934824,-5.4663408458,2.6010593419,4.5051669337
4768.9216724073,2562.0980374872,4437.6839749004,-5.5239224163,2.5704669893,4.4521794246
4711.3505222899,2588.5891715623,4483.5679650686,-5.5810377047,2.5394359198,4.3984320356
4653.5516849248,2614.5963390276,4528.6137004793,-5.6371095536,2.5082821260,4.3444720820
